source_text;ethno
[ [ id|мустафа ] , мы , украинец и белорус выйти из киевский русь , там сформироваться наш этнос ) а я очень рад , что вы хоть чуть-чуть прозреть от свой псевдо-научный убеждение ! кстати , в свой время единый этнос кипчак быть крымец , ногаец , < b > казах < /b > ! значит по твой кадыров и чечен не мусульманин ( ( но этот волос считаться мусульманский святыня , который признавать сунитский имам , или они тоже не мусульманин;казах
короче , я сейчас не оправдываться , просто хотеть разъяснить быть мой посыл . есть у я много знакомый армяный , грузинов , дагестанец , чеченец и много кто ещё . за то , что я общаться с весь , я нельзя назвать русофобом.многий считать себя русский , даже не знать свой предок . хотя если разобраться , то почти у каждый человек в род быть родственник из другой нация . на европейский территория до урал это частый весь немец , поляк , прибалт и даже француз . от урал и далёкий < b > азиат < /b > и северянин ( помор , якут ... ) , у мы на юг - кавказец . мой прабабушка быть полька , жить в белоруссия . я родиться в россия , а родина , как говориться , не выбирать . у я паспорт гражданин россия . и в армия я служить в россия .;казах
[ [ id|заур ] , это связать с твой слово о некий исконность на кавказ ) . вайнах на равнина ск появиться как выселок на земля кумык и < b > кабардинец < /b > . массовый переселение пойти в время освоение кавказ россия . < br/ > в частность равнинный земля для ингуш русский выкупать у кабардинский князь бекович черкасский . и многие село ингушетия носить они название по сей день . < br/ > < br/ > до это горец на равнина даже нос показать бояться . что видно кстати из предание о враждебный нарта , угнетать горец .;казах
rt @ vrsoloviev : < a href=\http : //youtube.com/watch ? v=ebfjl\ '' target=\ '' _blank\ '' > < u > http : //youtube.com/watch ? v=ebfjl < /u > < /a > … via @ youtube настоящий < b > казак < /b > ничего не хотя сказать это \ '' ряженым\ '' ? разве это не дискредитация каз… '';казах
большинство монгол по кровь говорить на русский . -ти миллионный казахстан , -ми кыргызстан , с < b > калмык < /b > свободно общаться на русский , тувак , якут . самый главное внутри бурят стать друг друг понимать . всегда вспоминать тётка сонголка мурочинский в оса \ я этот бурят вообще не понимать , ни один слово . что за язык у они такой\ '' . у этот халхас тоже диалект паразитировать маньчжур '';казах
[ [ id|иван ] , ты право : < br/ > хохол остаться хохол < br/ > хоть ты пустить он в европа < br/ > где надо действовать ум , < br/ > он напрягать только жопа . < br/ > и потому-то на русь < br/ > завещать аж мономах : < br/ > « связаться бог упасти ! < br/ > с три — < b > < font color=\ # e\ '' > жид < /font > < /b > , хохол и < b > лях < /b > « . < br/ > коварный < b > < font color=\ '' # e\ '' > жид < /font > < /b > , хотя и слепнуть < br/ > кичливый < b > лях < /b > — < b > < font color=\ '' # e\ '' > плохой < /font > < /b > < b > < font color=\ '' # e\ '' > блядь < /font > < /b > , < br/ > хохол же — съесть с ты хлеб , < br/ > и тут же в суп ты нагадить . < br/ > « хохол » т.г.шевченко г '';азиат
а вот фрагмент один из диспут возле контора ( компьютерный зал ) . спор о тот кто быть хороший оружейник , кто привнести в мир оружие больший вклад и всё такой . это международный спор в немой участвовать чародинец , гражданин сша , кумык < b > < font color=\ # a\ '' > шикарный < /font > < /b > дизайнер-проектировщик , < b > даргинец < /b > владелец контора , переводчик арабско-русский язык , житель кса временно проживать в махачкала . # махачкала '';кабардинец
читать о « рейд » , который проводить питерский < b > казак < /b > в магазин , разыскивать « санкционный » продукт . для справка : никакой законный право организовывать « рейд » и что-то « проверять » , присваивать себя полномочие государственный орган , у этот « асфальтовый < b > казак < /b > » ( ибо земля они не пахать и граница не охранять , как быть положить < b > казак < /b > ) не иметься . о тот , чтобы соответствующий полномочие быть они дать , сведение у я не иметься . а потому любой директор магазин , видеть они , иметь полный право звать полиция и требовать гнать они взашей . и никакой документ он они предъявлять не обязать . что-то они не нравиться ? пусть жаловаться в прокуратура , роспотребнадзор и другой госорган .;кабардинец
он надо чувствовать , ведь это внутренний стержень русский народ . русский - это не национальность , это мировоззрение . мочь привести пример : как назвать якут , тувинец , осетин , белорус , украинец , русский , < b > казах < /b > , татарин , хакас , таджик , а также другой национальность , если они сказать что родиться в ссср , на запад ? ? ?;кабардинец
[ [ id|алексей ] , нужный другой визовый политика . хватить весь пускать , весь жалеть . тс это не так уж и много страна . < b > казах < /b > работать не поехать , у они хороший з/п и нормальный рабочий масло дом , белорус аналогично . армянин , всё кто хотеть уже тут и у весь паспорт рф . киргиз , но только и остаться , что киргиз . остальной пока пока до потребность в персонал .;кабардинец
