source_text;ethno
[ [ id174199907|мустафа ] мы украинец и белорус выйти из киевский русь там сформироваться наш этнос а я очень рад что вы хоть чуть чуть прозреть от свой псевдо научный убеждение кстати в свой время единый этнос кипчак быть крымец ногаец < b > казах < b > значит по твой кадыров и чечен не мусульманин но этот волос считаться мусульманский святыня который признавать сунитский имам или они тоже не мусульманин;казах
короче я сейчас не оправдываться просто хотеть разъяснить быть мой посыл есть у я много знакомый армяный грузинов дагестанец чеченец и много кто ещё за то что я общаться с весь я нельзя назвать русофобоммногий считать себя русский даже не знать свой предок хотя если разобраться то почти у каждый человек в род быть родственник из другой нация на европейский территория до урал это частый весь немец поляк прибалт и даже француз от урал и далёкий < b > азиат < b > и северянепомор якут у мы на юг кавказец мой прабабушка быть полька жить в белоруссия я родиться в россия а родина как говориться не выбирать у я паспорт гражданин россия и в армия я служить в россия;казах
[ [ id211685480|заур ] это связать с твой слово о некий исконность на кавказ вайнах на равнина ск появиться как выселок на земля кумык и < b > кабардинец < b > массовый переселение пойти в время освоение кавказ россия < br > в частность равнинный земля для ингуш русский выкупать у кабардинский князь бекович черкасский и многие село ингушетия носить они название по сей день < br > < br > до это горец на равнина даже нос показать бояться что видно кстати из предание о враждебный нарта угнетать горец;казах
rt vrsoloviev < a hrefhttpyoutubecomwatchvebfjl0 target_blank > < u > httpyoutubecomwatchvebfjl0 < u > < a > via youtube настоящий < b > казак < b > ничего не хотя сказать это ряженый разве это не дискредитация каз;казах
большинство монгол по кровь говорить на русский 10 ти миллионный казахстан 7 ми кыргызстан с < b > калмык < b > свободно общаться на русский тувакамиякут самый главное внутри бурят стать друг друг понимать всегда вспоминать тётка сонголка мурочинский в оса я этот бурят вообще не понимать ни один слово что за язык у они такой у этот халхас тоже диалект паразитировать маньчжур;казах
[ [ id211552326|иван ] ты право < br > хохол остаться хохол < br > хоть ты пустить он в европа < br > где надо действовать ум < br > он напрягать только жопа < br > и потому то на русь < br > завещать аж мономах < br > связаться бог упасти < br > с три < b > < font colore42217 > жид < font > < b > хохол и < b > лях < b > < br > коварный < b > < font colore42217 > жид < font > < b > хотя и слепнуть < br > кичливый < b > лях < b > < b > < font colore42217 > плохой < font > < b > < b > < font colore42217 > блядь < font > < b > < br > хохол же съесть с ты хлеб < br > и тут же в суп ты нагадить < br > хохол тгшевченко 1851г;азиат
а вот фрагмент один из 100500 диспут возле контора компьютерный зал спор о тот кто быть хороший оружейник кто привнести в мир оружие больший вклад и всё такой это международный спор в немой участвовать чародинец гражданин сша кумык < b > < font color41a317 > шикарный < font > < b > дизайнер проектировщик < b > даргинец < b > владелец контора переводчик арабско русский язык житель кса временно проживать в махачкала махачкала;кабардинец
читать о рейд который проводить питерский < b > казак < b > в магазин разыскивать санкционный продукт для справка никакой законный право организовывать рейд и что то проверять присваивать себя полномочие государственный орган у этот асфальтовый < b > казак < b > ибо земля они не пахать и граница не охранять как быть положить < b > казак < b > не иметься о тот чтобы соответствующий полномочие быть они дать сведение у я не иметься а потому любой директор магазин видеть они иметь полный право звать полиция и требовать гнать они взашей и никакой документ он они предъявлять не обязать что то они не нравиться пусть жаловаться в прокуратура роспотребнадзор и другой госорган;кабардинец
он надо чувствовать ведь это внутренний стержень русский народ русский это не национальность это мировоззрение мочь привести пример как назвать якут тувинец осетин белорус украинец русский < b > казах < b > татарин хакас таджик а также другой национальность если они сказать что родиться в ссср на запад;кабардинец
[ [ id104848877|алексей ] нужный другой визовый политика хватить весь пускать весь жалеть тс это не так уж и много страна < b > казах < b > работать не поехать у они хороший зп и нормальный рабочий масло дом белорус аналогично армянин всё кто хотеть уже тут и у весь паспорт рф киргиз но только и остаться что киргиз остальной пока пока до потребность в персонал;кабардинец
завтра < b > россиянин < b > быть праздновать день флагаа в ростов пройти торжественный митинг < br > < br > торжественный митинг общественность приурочить к празднование день государственный флаг рф пройти в ростов на дон в суббота 22 август под лозунг верить в россия верить в себя < br > по традиция на митинг в честь день флаг собраться житель ростов и область представитель трудовой коллектив и национальный культурный объединение активист общественный организация профсоюз казачество депутатский корпус < br > < br > место проведение театральный площадь стела воин – освободитель г ростов на дон от немецко фашистский захватчик < br > начало в 1000 ч;кабардинец
сало алейкума < br > нужный помощь наш брат < br > < b > кабардинец < b > из мало имущий < br > семья в данный момент он находиться в < br > москва приехать на заработок но он не < br > мочь устроиться на нормальный работа так как у он проблема с здоровье < br > если есть возможность давать помочь < br > он собрать 5000 рубль на билет до < br > дом я сам помогать но сейчас чуть чуть < br > с работа проблема он стесняться < br > просить кто либо о помощь 5469380040047697 сбербанк кто сколько мочь 89067836202 номер для справка джазакумуллах хъейрана;кабардинец
эпатажный музыкант стас барецкий который < b > казак < b > исключить из свой ряд после тот как он разгрызть зуб банк с импортный пиво в ход совместный рейд намеренный продолжить поиск продукция из чёрный список в одиночество нужно проводить конкретный действие а не чек апеллировать когда я;казак
[ [ id318107025|руслан ] < b > казах < b > чепуха центральный азия узбек и таджик держать < br > < br > что то всё этот держатель в рф бетон месить и улица подметать < br > < br > или это они хобби вне основной работа;калмык
[ [ id314115725|гусейн ] кумычка в пять поколение уважать а точнее относиться уважительно лакец < b > аварец < b > даргинец лезгиновый весь человек не зависимость от нация и религия < br > для я нет такой понятие как плохой нация но есть понимание плохой человекапусть хоть сто плохой из один нация попасться сто превыя быть хороший < br > не судить нация и человек судить не надон это всевышний есть он мы судья < br > быть благоразумный всё мы человек всё брат и сестра;калмык
[ [ id147519995|марчелло ] богатый земляогромный территориярусский право не имеютдажа территория официально закрепить нет весь русь принадлежать русскимный кой образоместь < b > казах < b > узбекитаджикикиргиз даже у еврей есть сво еврейский территориякстати полный путаница где ктоно всё это россияполучаться что русский некий виртуальный собществонужный ставить вопрос о пересмотр деление территория исделать толькорусский в конституция закрепить этоа вот как же всё таки жидов от кормушка убрать то;калмык
[ [ id251645103|альбина ] ты на себя в зеркало смотреть не стыднотеб что только не пишутвсякий ингушский чёрт у ты пастись и как муха на говно на твой страничка слетаться и ты плеватьпоказать я хоть один страничка ингушка чтоб у она такой писать < b > осетин < b > и она спокойно на это смотреть и не удаляланичтожество тьфу блядь;калмык
[ [ id10722607|ильдар ] причём здесь золотой орда ты хотя бы свой история татарский изучить < br > < br > алтайский татарин устаревший название алтаец < br > горский татарин устаревший название балкарец и карачаевец < br > дагестанский татарин устаревший название кумык < br > енисейский минусинский абаканский ачинский татарин устаревший название хакас < br > кавказский закавказский адербейджанский азербайджанский татарин устаревший название < b > азербайджанец < b > < br > кундровский татарин устаревший название карагаша < br > кузнецкий татарин устаревший название шорец < br > ногайский татарин устаревший название ногаец < br > черневый татарин устаревший название тубалар < br > чулымский татарин устаревший название чулымец;поляк
< b > азербот < b > дербент настать конец скоро и обращаться к лезгинский девушка не иметь отношение с < b > азербот < b > не позорить наш нация;поляк
сталин говорить про себя я русский грузин русский это прилагательное нет и не быть такой национальность ант скиф тюрк помор полех кержак полякиалтай и ещё с сотня и всё мы русский вместе с таджик грузин узбек < b > абхазец < b > казах казачийстан;казак
когда < b > русский < b > < b > народ < b > напрягать до изнеможение всё свой сила в борьба с фашистский германия сталин найти возможность и средство в ущерб фронт депортировать татарин из крым для это требоваться больший заслуга но не перед свой страна а перед фашист впрочем этот народ никогда не считать россия свой родина сотня год нападать на её предел < b > < font colore42217 > грабить < font > < b > и убивать < b > русский < b > < b > человек < b > уводить они в полный исторический память до сей пора отравлять они кровь ненависть к мы никак не мочь смириться с тем что большинство население крым русский < a hrefhttprusvesnasunews1440313468 target_blank > < u > httprusvesnasunews1440313468 < u > < a > cc 32043191;казах
исполнять обязанность губернатор область александр козлов заочно поздравить < b > эвенк < b > с 80 летний < a hrefhttpinstagramcomp6tl1d0kz0l target_blank > < u > httpinstagramcomp6tl1d0kz0l < u > < a >;казах
ты подрывать свой пропаганда молодой < b > азербайджанец < b > к тот что они должный дружить и учиться у они мочь мы из свой школа выгнать наш учитель и поставить туда армяшка не думать;казах
рамазан я знать многий дагестанец они у мы не шуметь не гадить работать жить спокойно и если кто то из они хамить и быть не право то свой же он предъявить я с сторона видный я также знать русский с кизляр у они много детишки дом свой и машинажить спокойно я как то один < b > аварец < b > по имя руслан сказалчтый недолюбливать горцевпотомучтый они говорить что нельзя так делать а они всё равно делать по свой один слово стадо баранов;казах
[ [ id205827091|сонить ] кроме алиальберт и дугулубковый никто не знаюмах пока не боец ммаести ты начать перечислять мощный и талантливый на один даргинец час прийтись потратить про остальной дагестанец и < b > чеченец < b > вообще молчутак то ингуш 500 000ный за последний пара год они дать российский мма брат яндиевыхюнус евлоеваингисхан оздоева и ещё 4 5 интересный бойцовдеть не в количествеа школа;казах
< b > карельский < b > < b > ребята < b > быть учиться у олег табаков < br > < br > из 24 ребята набрать в московский театральный школа известный актёр режиссёр и педагог двое – наш земляк < br > < br > < a hrefhttpptzgovoritrucontentkarelskie rebyata budut uchitsya u olega tabakova target_blank > < u > httpptzgovoritrucontentkarelskie rebyata budut uchitsya u olega tabakova < u > < a >;кабардинец
ну основный масса кумык проживать в дагестан значит можно назвать кумык дагестанец так как основный исторический территория проживание кумык находиться в дагестан < br > логично < br > но < br > дагестанец можно перевести как < b > горец < b > житель горный страна тур даг гора стан страна однако кумык не называть себя < b > горец < b > наоборот житель равнина плоскостие даже слышать версия что слово кумык образоваться от слово хумпесок а песок он у побережье то есть на равнина поэтому определять мы дагестанец не подходить даже с понятие этимологический;казак
