source_text;ethno
[ [ id174199907|мустафа ] , , украинец белорус выйти киевский русь , сформироваться наш этнос ) очень рад , чуть-чуть прозреть свой псевдо-научный убеждение ! кстати , свой время единый этнос кипчак крымец , ногаец , < b > казах < /b > ! значит твой кадыров чечен мусульманин ( ( волос считаться мусульманский святыня , который признавать сунитский имам , мусульманин;казах
короче , оправдываться , просто хотеть разъяснить посыл . знакомый армяный , грузинов , дагестанец , чеченец ещё . , общаться весь , назвать русофобом.многий считать русский , знать свой предок . хотя разобраться , каждый человек род родственник нация . европейский территория урал это частый весь немец , поляк , прибалт француз . урал далёкий < b > азиат < /b > северянин ( помор , якут ... ) , юг - кавказец . прабабушка полька , жить белоруссия . родиться россия , родина , говориться , выбирать . паспорт гражданин россия . армия служить россия .;казах
[ [ id211685480|заур ] , это связать твой слово некий исконность кавказ ) . вайнах равнина ск появиться выселок земля кумык < b > кабардинец < /b > . массовый переселение пойти время освоение кавказ россия . < br/ > частность равнинный земля ингуш русский выкупать кабардинский князь бекович черкасский . многие село ингушетия носить название сей день . < br/ > < br/ > это горец равнина нос показать бояться . видно кстати предание враждебный нарта , угнетать горец .;казах
rt @ vrsoloviev : < a href=\http : //youtube.com/watch ? v=ebfjl0\ '' target=\ '' _blank\ '' > < u > http : //youtube.com/watch ? v=ebfjl0 < /u > < /a > … via @ youtube настоящий < b > казак < /b > хотя сказать это \ '' ряженым\ '' ? это дискредитация каз… '';казах
большинство монгол кровь говорить русский . 10-ти миллионный казахстан , 7-й кыргызстан , < b > калмык < /b > свободно общаться русский , тувак , якут . самый главное внутри бурят стать друг друг понимать . вспоминать тётка сонголка мурочинский оса \ бурят вообще понимать , слово . язык такой\ '' . халхас диалект паразитировать маньчжур '';казах
[ [ id211552326|иван ] , право : < br/ > хохол остаться хохол < br/ > пустить европа < br/ > действовать ум , < br/ > напрягать жопа . < br/ > потому-то русь < br/ > завещать аж мономах : < br/ > « связаться бог упасти ! < br/ > — < b > < font color=\ # e42217\ '' > жид < /font > < /b > , хохол < b > лях < /b > « . < br/ > коварный < b > < font color=\ '' # e42217\ '' > жид < /font > < /b > , хотя слепнуть < br/ > кичливый < b > лях < /b > — < b > < font color=\ '' # e42217\ '' > плохой < /font > < /b > < b > < font color=\ '' # e42217\ '' > блядь < /font > < /b > , < br/ > хохол — съесть хлеб , < br/ > суп нагадить . < br/ > « хохол » т.г.шевченко 1851г '';азиат
фрагмент 100500 диспут возле контора ( компьютерный зал ) . спор хороший оружейник , привнести мир оружие больший вклад всё . это международный спор немой участвовать чародинец , гражданин сша , кумык < b > < font color=\ # 41a317\ '' > шикарный < /font > < /b > дизайнер-проектировщик , < b > даргинец < /b > владелец контора , переводчик арабско-русский язык , житель кса временно проживать махачкала . # махачкала '';кабардинец
читать « рейд » , который проводить питерский < b > казак < /b > магазин , разыскивать « санкционный » продукт . справка : никакой законный право организовывать « рейд » что-то « проверять » , присваивать полномочие государственный орган , « асфальтовый < b > казак < /b > » ( ибо земля пахать граница охранять , положить < b > казак < /b > ) иметься . , соответствующий полномочие дать , сведение иметься . любой директор магазин , видеть , иметь полный право звать полиция требовать гнать взашей . никакой документ предъявлять обязать . что-то нравиться ? пусть жаловаться прокуратура , роспотребнадзор госорган .;кабардинец
чувствовать , это внутренний стержень русский народ . русский - это национальность , это мировоззрение . мочь привести пример : назвать якут , тувинец , осетин , белорус , украинец , русский , < b > казах < /b > , татарин , хакас , таджик , также национальность , сказать родиться ссср , запад ? ? ?;кабардинец
[ [ id104848877|алексей ] , нужный визовый политика . хватить весь пускать , весь жалеть . тс это страна . < b > казах < /b > работать поехать , хороший з/п нормальный рабочий масло дом , белорус аналогично . армянин , всё хотеть весь паспорт рф . киргиз , остаться , киргиз . остальной пока пока потребность персонал .;кабардинец
завтра < b > россиянин < /b > праздновать день флаг , ростов пройти торжественный митинг < br/ > < br/ > торжественный митинг общественность , приурочить празднование день государственный флаг рф , пройти ростов-на-дону суббота , 22 август , лозунг « верить россия ! верить ! » . < br/ > традиция митинг честь день флаг собраться житель ростов область , представитель трудовой коллектив национально-культурный объединение , активист общественный организация , профсоюз , казачество , депутатский корпус . < br/ > < br/ > место проведение : театральный площадь ( стела « воин – освободитель г. ростов-на-дону немецко-фашистский захватчик » ) . < br/ > начало 10:00 ч .;кабардинец
сало алейкума . < br/ > нужный помощь наш брат < br/ > < b > кабардинец < /b > мало имущий < br/ > семья . данный момент находиться < br/ > москва . приехать заработок , < br/ > мочь устроиться нормальный работа проблема здоровье . < br/ > возможность давать помочь < br/ > собрать 5000 рубль . билет < br/ > дом . помогать , < br/ > работа проблема . стесняться < br/ > просить либо помощь . 5469380040047697 сбербанк ... сколько мочь . 89067836202 - номер справка . джазакумуллах хъейрана .;кабардинец
эпатажный музыкант стас барецкий , который < b > казак < /b > исключить свой ряд , разгрызть зуб банк импортный пиво ход совместный рейд , намеренный продолжить поиск продукция чёрный список одиночество . « нужно проводить конкретный действие , чек апеллировать .;казак
[ [ id318107025|руслан ] , < b > казах < /b > чепуха ? центральный азия узбек таджик держать ? < br/ > ? ? ? ? ? ? < br/ > всё держатель рф бетон месить улица подметать ? < br/ > < br/ > это хобби вне основной работа ? ? ?;калмык
