source_text;ethno
мустафа , мы , украинец и белорус выйти из киевский русь , там сформироваться наш этнос ) а я очень рад , что вы хоть чуть-чуть прозреть от свой псевдо-научный убеждение ! кстати , в свой время единый этнос кипчак быть крымец , ногаец , казах ! значит по твой кадыров и чечен не мусульманин ( ( но этот волос считаться мусульманский святыня , который признавать сунитский имам , или они тоже не мусульманин;казах
короче , я сейчас не оправдываться , просто хотеть разъяснить быть мой посыл . есть у я много знакомый армяный , грузинов , дагестанец , чеченец и много кто ещё . за то , что я общаться с весь , я нельзя назвать русофобом.многий считать себя русский , даже не знать свой предок . хотя если разобраться , то почти у каждый человек в род быть родственник из другой нация . на европейский территория до урал это частый весь немец , поляк , прибалт и даже француз . от урал и далёкий азиат и северянин ( помор , якут ... ) , у мы на юг - кавказец . мой прабабушка быть полька , жить в белоруссия . я родиться в россия , а родина , как говориться , не выбирать . у я паспорт гражданин россия . и в армия я служить в россия .;казах
заур , это связать с твой слово о некий исконность на кавказ ) . вайнах на равнина ск появиться как выселок на земля кумык и кабардинец . массовый переселение пойти в время освоение кавказ россия . в частность равнинный земля для ингуш русский выкупать у кабардинский князь бекович черкасский . и многие село ингушетия носить они название по сей день . до это горец на равнина даже нос показать бояться . что видно кстати из предание о враждебный нарта , угнетать горец .;казах
rt http : //youtube.com/watch ? v=ebfjl0… via настоящий казак ничего не хотя сказать это \ '' ряженым\ '' ? разве это не дискредитация каз… '';казах
большинство монгол по кровь говорить на русский . 10-ти миллионный казахстан , 7-й кыргызстан , с калмык свободно общаться на русский , тувак , якут . самый главное внутри бурят стать друг друг понимать . всегда вспоминать тётка сонголка мурочинский в оса \ я этот бурят вообще не понимать , ни один слово . что за язык у они такой\ '' . у этот халхас тоже диалект паразитировать маньчжур '';казах
иван , ты право : хохол остаться хохол хоть ты пустить он в европа где надо действовать ум , он напрягать только жопа . и потому-то на русь завещать аж мономах : « связаться бог упасти ! с три — жид , хохол и лях « . коварный жид , хотя и слепнуть кичливый лях — плохой блядь , хохол же — съесть с ты хлеб , и тут же в суп ты нагадить . « хохол » т.г.шевченко 1851г '';азиат
а вот фрагмент один из 100500 диспут возле контора ( компьютерный зал ) . спор о тот кто быть хороший оружейник , кто привнести в мир оружие больший вклад и всё такой . это международный спор в немой участвовать чародинец , гражданин сша , кумык шикарный дизайнер-проектировщик , даргинец владелец контора , переводчик арабско-русский язык , житель кса временно проживать в махачкала . # махачкала '';кабардинец
читать о « рейд » , который проводить питерский казак в магазин , разыскивать « санкционный » продукт . для справка : никакой законный право организовывать « рейд » и что-то « проверять » , присваивать себя полномочие государственный орган , у этот « асфальтовый казак » ( ибо земля они не пахать и граница не охранять , как быть положить казак ) не иметься . о тот , чтобы соответствующий полномочие быть они дать , сведение у я не иметься . а потому любой директор магазин , видеть они , иметь полный право звать полиция и требовать гнать они взашей . и никакой документ он они предъявлять не обязать . что-то они не нравиться ? пусть жаловаться в прокуратура , роспотребнадзор и другой госорган .;кабардинец
он надо чувствовать , ведь это внутренний стержень русский народ . русский - это не национальность , это мировоззрение . мочь привести пример : как назвать якут , тувинец , осетин , белорус , украинец , русский , казах , татарин , хакас , таджик , а также другой национальность , если они сказать что родиться в ссср , на запад ? ? ?;кабардинец
алексей , нужный другой визовый политика . хватить весь пускать , весь жалеть . тс это не так уж и много страна . казах работать не поехать , у они хороший з/п и нормальный рабочий масло дом , белорус аналогично . армянин , всё кто хотеть уже тут и у весь паспорт рф . киргиз , но только и остаться , что киргиз . остальной пока пока до потребность в персонал .;кабардинец
завтра россиянин быть праздновать день флаг , а в ростов пройти торжественный митинг торжественный митинг общественность , приурочить к празднование день государственный флаг рф , пройти в ростов-на-дону в суббота , 22 август , под лозунг « верить в россия ! верить в себя ! » . по традиция на митинг в честь день флаг собраться житель ростов и область , представитель трудовой коллектив и национально-культурный объединение , активист общественный организация , профсоюз , казачество , депутатский корпус . место проведение : театральный площадь ( стела « воин – освободитель г. ростов-на-дону от немецко-фашистский захватчик » ) . начало в 10:00 ч .;кабардинец
сало алейкума . нужный помощь наш брат кабардинец из мало имущий семья . в данный момент он находиться в москва . приехать на заработок , но он не мочь устроиться на нормальный работа так как у он проблема с здоровье . если есть возможность давать помочь он собрать 5000 рубль . на билет до дом . я сам помогать , но сейчас чуть чуть с работа проблема . он стесняться просить кто либо о помощь . 5469380040047697 сбербанк ... кто сколько мочь . 89067836202 - номер для справка . джазакумуллах хъейрана .;кабардинец
эпатажный музыкант стас барецкий , который казак исключить из свой ряд после тот , как он разгрызть зуб банк с импортный пиво в ход совместный рейд , намеренный продолжить поиск продукция из чёрный список в одиночество . « нужно проводить конкретный действие , а не чек апеллировать . когда я;казак
руслан , казах чепуха ? центральный азия узбек и таджик держать ? ? ? ? ? ? ? что то всё этот держатель в рф бетон месить и улица подметать ? или это они хобби вне основной работа ? ? ?;калмык
гусейн , кумычка , в пять поколение , уважать ( а точнее относиться уважительно ) лакец , аварец , даргинец , лезгиновый , весь человек , не зависимость от нация и религия . для я нет такой понятие , как плохой нация , но есть понимание плохой человека.пусть хоть сто плохой из один нация попасться , сто превыя быть хороший . не судить нация и человек судить не надо.ич это всевышний есть , он мы судья . быть благоразумный , всё мы человек , всё брат и сестра;калмык
марчелло , богатый земля , огромный территория , русский право не иметь , даже территория официально закрепить нет-весь русь принадлежать русский , но кой образ ? есть казах , узбек , таджик , киргиз даже у еврей есть сво еврейский территория.кстати полный путаница где кто , но всё это россия ? получаться что русский некий виртуальный собщество.нужный ставить вопрос о пересмотр деление территория исделать толькорусский в конституция закрепить это. вот как же всё таки жидов от кормушка убрать то ?;калмык
