text;label
$ bynd - jpmorgan reel in expectation on beyond meat http : //t.co/bdxbfgjkt;Bearish
$ ccl $ rcl - nomura point to booking weakness at carnival and royal caribbean http : //t.co/ygjptred;Bearish
$ cx - cemex cut at credit suisse , j.p. morgan on weak building outlook http : //t.co/kngawfib;Bearish
$ es : btig research cut to neutral http : //t.co/mcyftsxcn;Bearish
$ fnko - funko slide after piper jaffray pt cut http : //t.co/zijmcqzb;Bearish
$ fti - technipfmc downgraded at berenberg but called top pick at deutsche bank http : //t.co/xkcpdiliuu;Bearish
$ gm - gm loses a bull http : //t.co/tdufghbxy;Bearish
$ gm : deutsche bank cut to hold http : //t.co/fvzifzbs;Bearish
$ gtt : cowen cut to market perform;Bearish
$ hnhaf $ hnhpd $ aapl - trendforce cut iphone estimate after foxconn delay http : //t.co/rlnewzlzzs;Bearish
$ hog - moody 's warns on harley-davidson http : //t.co/lurhbeadeu;Bearish
$ hxl - citing aero tie , well slash pt on hexcel http : //t.co/wupiwbu;Bearish
$ i - intelsat cut to market perform at raymond james http : //t.co/ysvsmsqrib;Bearish
$ krg : compass point cut to sell http : //t.co/mcyftsxcn;Bearish
$ lk - muddy water go short luckin coffee http : //t.co/yrbwajlkg;Bearish
$ mant - mantech downgraded ahead of difficult comp http : //t.co/mjesrsfxj;Bearish
$ mdco : oppenheimer cut to perform;Bearish
$ mplx $ mpc - mplx cut at credit suisse on potential dilution from marathon strategic review http : //t.co/bfqyzuw;Bearish
$ msgn - imperial downgrade msg network amid sports-free airwave http : //t.co/ulsxnxw;Bearish
$ mtls - piper hit the materialise sideline http : //t.co/qlfxzuhkrt;Bearish
$ ncbs : hovde group cut to market perform;Bearish
$ nflx - new netflix bear step out http : //t.co/pdpkglkfq;Bearish
$ shop - shopify loses a bull http : //t.co/eoqlchtk;Bearish
$ stay - nomura instinet loses confidence in extended stay america http : //t.co/wrqxtcnb;Bearish
$ twlo - twilio get street-low target on virus risk http : //t.co/kyddxnjx;Bearish
$ vclt $ splb $ iglb - guggenheim 's minerd see more gloom ahead in stock http : //t.co/nkyqgyoj;Bearish
$ viac $ viaca $ fox - moffettnathanson expects nfl tv cost to skyrocket http : //t.co/apfxeqssrf;Bearish
$ viac : barrington research cut to mkt perform http : //t.co/fvzifzbs;Bearish
$ xlnx - mizuho cut xlnx target on near-term headwind http : //t.co/hswcvjbct;Bearish
u downgraded to sector weight from overweight at keybanc capital;Bearish
alphabet and facebook price target cut at barclays on weaker ad outlook http : //t.co/plbsaenc;Bearish
amc network price target cut to $ from $ at imperial capital;Bearish
american software downgraded to neutral from buy at b. riley fbr;Bearish
analyst question silicon motion 's margin outlook;Bearish
anchiano therapeutic downgraded to peer perform from outperform at oppenheimer;Bearish
arch coal stock price target cut to $ from $ at b. riley fbr;Bearish
at & t downgraded by moffettnathanson to sell on concern wireless ca n't carry the whole company;Bearish
at & t share sink after moffettnathanson downgrade;Bearish
