"1";"russia ha expelled dutch reporter newspaper ha mos";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00575";"0.00027";"0.00301";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.06877";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00301";"0.00027";"0.00027";"0.01397";"0.00027";"0.00027";"0.00027";"0.01397";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.26603";"0.05233";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.01397";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.01945";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.51534";"0.00027";"0.00027"
"2";"largest important event mathematical calendar take";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00742";"0.00035";"0.00035";"0.00035";"0.00389";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.05689";"0.00035";"0.00035";"0.00389";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.06749";"0.06749";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.06396";"0.31837";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00389";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.37138";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00389";"0.00035";"0.00035";"0.00035";"0.00035"
"3";"earlier today set three question russian math comp";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00298";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.05718";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00298";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.03550";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00298";"0.00027";"0.00027";"0.00027";"0.00298";"0.00840";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.33631";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.52602";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027";"0.00027"
"4";"labour ha asked conservative check party ha made d";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00246";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00469";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.50246";"0.00915";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00246";"0.00022";"0.00022";"0.00246";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.36183";"0.00022";"0.00022";"0.03371";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.06049";"0.00022";"0.00022"
"5";"russia ha hosted high profile international talk a";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00490";"0.00023";"0.00023";"0.00023";"0.00023";"0.00956";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.06783";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00256";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.38951";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00256";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.37786";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.12378";"0.00023";"0.00023"
"6";"russia may dissolve memorial country premier human";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00188";"0.00017";"0.00017";"0.00017";"0.00188";"0.00017";"0.00017";"0.00188";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00188";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00529";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.14352";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00358";"0.00017";"0.38925";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00188";"0.00017";"0.00017";"0.00700";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.00017";"0.06672";"0.00017";"0.00017";"0.00188";"0.00017";"0.00017";"0.00017";"0.00017";"0.35853";"0.00017";"0.00017"
"7";"russia ha accused west building force border well ";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.01414";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.74172";"0.00034";"0.00034";"0.00379";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00724";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00724";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00379";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.06241";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.12793";"0.00034";"0.00034"
"8";"germany new chancellor faced pressure fellow leade";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00532";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00278";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.62810";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.01291";"0.00025";"0.00025";"0.00025";"0.00025";"0.00278";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.15468";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00785";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.01291";"0.00025";"0.00025";"0.00025";"0.08127";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.03316";"0.00025";"0.00025";"0.00025";"0.03570";"0.00025";"0.00025"
"9";"nato secretary general jens stoltenberg ha caution";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.78722";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00247";"0.00022";"0.00022";"0.07870";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.01143";"0.00022";"0.00022";"0.00022";"0.00022";"0.00247";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.00022";"0.05852";"0.00022";"0.01816";"0.00022";"0.01368";"0.00022";"0.00022";"0.00022";"0.00695";"0.00022";"0.00022"
"10";"good morning malcolm turnbull welcome climate focu";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.28973";"0.00012";"0.00012";"0.00012";"0.05458";"0.00012";"0.00136";"0.00012";"0.00012";"0.00012";"0.00136";"0.00012";"0.00879";"0.00012";"0.02488";"0.00012";"0.00012";"0.02488";"0.00012";"0.00507";"0.00012";"0.00012";"0.00012";"0.00012";"0.03849";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00755";"0.00012";"0.00136";"0.00012";"0.00012";"0.00012";"0.00012";"0.00631";"0.00012";"0.00012";"0.00012";"0.06572";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.28230";"0.00012";"0.00012";"0.00012";"0.00136";"0.00012";"0.00012";"0.00012";"0.01126";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00012";"0.00507";"0.00012";"0.00384";"0.00012";"0.00136";"0.00012";"0.00012";"0.12636";"0.00012";"0.00012";"0.00260";"0.00012";"0.00012";"0.00012";"0.00012";"0.02611";"0.00012";"0.00012"
"11";"swift reprisal package russia including troop patr";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.63910";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.23612";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00328";"0.00030";"0.00627";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00627";"0.00030";"0.00030";"0.00627";"0.07194";"0.00030";"0.00328";"0.00030";"0.00030";"0.00030";"0.00030"
"12";"ha evidence russia ha made plan large scale attack";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.79782";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.16290";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.01012";"0.00020";"0.00813";"0.00020";"0.00020";"0.00020";"0.00218";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020"
