"1";"russia ha expelled dutch reporter newspaper ha mos";"0.00028";"0.00870";"0.09012";"0.00590";"0.00028";"0.02555";"0.00309";"0.82285";"0.00028";"0.00028";"0.01993";"0.02274"
"2";"largest important event mathematical calendar take";"0.00036";"0.00036";"0.00036";"0.62400";"0.00036";"0.29212";"0.00036";"0.00036";"0.00036";"0.00036";"0.08060";"0.00036"
"3";"earlier today set three question russian math comp";"0.00028";"0.00028";"0.00028";"0.68046";"0.00028";"0.22238";"0.00028";"0.00305";"0.05580";"0.00028";"0.00028";"0.03637"
"4";"labour ha asked conservative check party ha made d";"0.01161";"0.00023";"0.89048";"0.00023";"0.00023";"0.01617";"0.00023";"0.07536";"0.00250";"0.00250";"0.00023";"0.00023"
"5";"russia ha hosted high profile international talk a";"0.17872";"0.01214";"0.00024";"0.00262";"0.00024";"0.03832";"0.00024";"0.71656";"0.05021";"0.00024";"0.00024";"0.00024"
"6";"russia may dissolve memorial country premier human";"0.00017";"0.00364";"0.07814";"0.00017";"0.00364";"0.39172";"0.00017";"0.52166";"0.00017";"0.00017";"0.00017";"0.00017"
"7";"russia ha accused west building force border well ";"0.32397";"0.00036";"0.00036";"0.00036";"0.00036";"0.00036";"0.00036";"0.67248";"0.00036";"0.00036";"0.00036";"0.00036"
"8";"germany new chancellor faced pressure fellow leade";"0.75375";"0.00026";"0.00026";"0.00026";"0.00026";"0.00026";"0.00026";"0.24366";"0.00026";"0.00026";"0.00026";"0.00026"
"9";"nato secretary general jens stoltenberg ha caution";"0.45540";"0.00709";"0.00023";"0.00023";"0.00938";"0.00023";"0.00023";"0.52630";"0.00023";"0.00023";"0.00023";"0.00023"
"10";"good morning malcolm turnbull welcome climate focu";"0.04767";"0.45308";"0.13276";"0.05768";"0.05018";"0.16154";"0.03141";"0.01264";"0.03016";"0.00513";"0.01764";"0.00013"
"11";"swift reprisal package russia including troop patr";"0.75445";"0.00031";"0.00031";"0.00031";"0.00031";"0.00031";"0.06162";"0.18118";"0.00031";"0.00031";"0.00031";"0.00031"
"12";"ha evidence russia ha made plan large scale attack";"0.74536";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.00020";"0.24657";"0.00424";"0.00222";"0.00020";"0.00020"
"13";"man putin couldnt kill pm channel horror absurdity";"0.00030";"0.05117";"0.00030";"0.13794";"0.00030";"0.25464";"0.00329";"0.05416";"0.00030";"0.00030";"0.15889";"0.33842"
"14";"serbia president aleksandar vui ha lauded tie krem";"0.85355";"0.00264";"0.00024";"0.00024";"0.00503";"0.00024";"0.11769";"0.00024";"0.01942";"0.00024";"0.00024";"0.00024"
"15";"foreign minister g group rich democracy warned rus";"0.79833";"0.00019";"0.00019";"0.02731";"0.00019";"0.00019";"0.00019";"0.16486";"0.00019";"0.00019";"0.00019";"0.00794"
"16";"flatbed rail wagon speeding south west russia last";"0.53712";"0.00881";"0.00017";"0.01226";"0.00190";"0.03988";"0.05715";"0.34202";"0.00017";"0.00017";"0.00017";"0.00017"
"17";"russia ha admitted destroying one satellite missil";"0.29463";"0.08118";"0.00032";"0.22025";"0.00032";"0.00032";"0.00032";"0.36578";"0.01649";"0.01973";"0.00032";"0.00032"
"18";"joe biden go tuesday virtual summit vladimir putin";"0.57138";"0.00034";"0.00034";"0.00034";"0.01734";"0.00034";"0.18729";"0.19409";"0.00034";"0.02413";"0.00034";"0.00374"
"19";"moscow authority announced weeklong closure non es";"0.00383";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.00035";"0.07695";"0.91609";"0.00035";"0.00035";"0.00035"
"20";"russian authority threatened shutter memorial coun";"0.00053";"0.00053";"0.00053";"0.00053";"0.00053";"0.24626";"0.00053";"0.68429";"0.00053";"0.06464";"0.00053";"0.00053"
"21";"vladimir putin ha warned nato country deploying we";"0.54606";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.00023";"0.45164";"0.00023";"0.00023";"0.00023";"0.00023"
"22";"natural gas market ha entered uncharted territory ";"0.35585";"0.00021";"0.00231";"0.01494";"0.06755";"0.00021";"0.49895";"0.05703";"0.00021";"0.00231";"0.00021";"0.00021"
